struct_name,total energy[eV]
Fe4OF7,-145.4336556575909
Fe4OF7_var_1,-145.352109774958
Fe4OF7_var_2,-145.21289186466055
Fe4OF7_var_3,-145.56174433266187
Fe4OF7_var_4,-145.4020166144114
Fe4OF7_var_5,-145.50912763038914
Fe4OF7_var_6,-145.42522002612878
Fe4OF7_var_7,-145.38134842556215
Fe4OF7_var_8,-145.28626804713923
Fe4OF7_var_9,-145.49470983283345
Fe4OF7_var_10,-145.23084892518645
Fe4OF7_var_11,-145.4148766801437
Fe4OF7_var_12,-145.32177610879498
Fe4OF7_var_13,-144.4486669248595
Fe4OF7_var_14,-145.41592286722303
Fe4OF7_var_15,-145.51482855999618
Fe4OF7_var_16,-145.5009674953321
Fe4OF7_var_17,-145.50312498220248
Fe4OF7_var_18,-145.25265591505246
Fe4OF7_var_19,-144.44373905885575
Fe4OF7_var_20,-145.62644795343274
Fe4OF7_var_21,-145.34850095189256
Fe4OF7_var_22,-145.49492963136572
Fe4OF7_var_23,-145.63141536652319
Fe4OF7_var_24,-145.36649019403353
Fe4OF7_var_25,-145.48513202162655
Fe4OF7_var_26,-145.3803375449091
Fe4OF7_var_27,-145.6236889766018
Fe4OF7_var_28,-145.4623280331294
Fe4OF7_var_29,-145.3133250238047
Fe4OF7_var_30,-145.35880271179073
Fe4OF7_var_31,-145.38209438353434
Fe4OF7_var_32,-144.62012754744634
Fe4OF7_var_33,-145.47141053485774
Fe4OF8,-299.7085225719392
Fe4OF8_var_1,-299.8942484374282
Fe4OF8_var_2,-300.2845868232368
Fe4OF8_var_3,unconverged
Fe4OF8_var_4,-299.5418072734591
Fe4OF8_var_5,-299.3518094804832
Fe4OF8_var_6,-299.7394341095771
Fe4OF8_var_7,-299.61851814696143
Fe4OF8_var_8,-299.61123586846276
Fe4OF8_var_9,-299.3470155383414
Fe4OF8_var_10,-299.8762752925468
Fe4OF8_var_11,-299.5523704952383
Fe4OF8_var_12,-299.34222788033725
Fe4OF8_var_13,-299.03420372969794
Fe4OF8_var_14,unconverged
Fe4OF8_var_15,unconverged
Fe4OF8_var_16,-299.66110344441637
Fe4OF8_var_17,-299.80782482056344
Fe4OF8_var_18,-299.5957054685836
Fe4OF8_var_19,-299.57953678475985
Fe4OF8_var_20,-299.4253892307899
Fe4OF8_var_21,-299.62653357335654
Fe4OF8_var_22,-299.50949974601565
Fe4OF8_var_23,-299.96338302076595
Fe4OF8_var_24,-299.7658808192572
Fe4OF8_var_25,-299.5345811954431
Fe4OF8_var_26,-299.51230066064056
Fe4OF8_var_27,-299.1139747842027
Fe4OF8_var_28,-299.58452906660256
Fe4OF8_var_29,-299.23867908611464
Fe4OF8_var_30,-299.5841535684633
Fe4OF8_var_31,-299.3351487877718
Fe4OF8_var_32,unconverged
Fe4OF8_var_33,-299.560212425206
Fe6OF11,-206.14753344454553
Fe6OF11_var_1,-205.95783567479285
Fe6OF11_var_2,-206.1285081317777
Fe6OF11_var_3,-205.79189003677763
Fe6OF11_var_4,-206.11840740555917
Fe6OF11_var_5,-205.77138869576618
Fe6OF11_var_6,-206.34708054107023
Fe6OF11_var_7,-205.3182949334213
Fe6OF11_var_8,-206.3113663538455
Fe6OF11_var_9,-206.1823469032492
Fe6OF11_var_10,-205.75005739284748
Fe6OF11_var_11,-206.34244538953416
Fe6OF11_var_12,-206.18054423874673
Fe6OF11_var_13,-205.56213240412254
Fe6OF11_var_14,-205.66397636999253
Fe6OF11_var_15,-206.12933517190373
Fe6OF11_var_16,-206.12343407452303
Fe6OF11_var_17,-206.26752828640102
Fe6OF11_var_18,-205.96269110999688
Fe6OF11_var_19,-206.11226113026134
Fe6OF11_var_20,-206.18534376059574
Fe6OF11_var_21,-206.0957877492957
Fe6OF11_var_22,-204.45246064876105
Fe6OF11_var_23,-206.0899769113426
Fe6OF11_var_24,-205.68971503713954
Fe6OF11_var_25,-204.30663456681103
Fe6OF11_var_26,-205.76195235687572
Fe6OF11_var_27,-206.45856022712803
Fe6OF11_var_28,-206.4226619435208
Fe6OF11_var_29,-206.08459352178008
Fe6OF11_var_30,-205.03805245361588
Fe6OF11_var_31,-205.94048295775298
Fe6OF11_var_32,-206.27280499357832
Fe6OF11_var_33,-206.1115389121554
